Overcooked! 2,220.000,4.0,GeForce GTX 630 / Radeon HD 6570,3.0,Multiplayer Action Casual Local Co-Op Indie Co-op Online Co-Op 4 Player Local,7 Aug, 2018,3137,80
Two Point Hospital,576.000,4.0,NVIDIA Geforce GT 1030, 2GB (Legacy: NVIDIA GeForce GTX 460), AMD RX550, 2GB (Legacy: AMD Radeon HD 6850), Integrated: Intel HD Graphics 630,5.0,Simulation Management Building Singleplayer Strategy Comedy Funny Sandbox Indie Casual Isometric Replay Value Retro Cartoony Tactical Classic Story Rich City Builder Nudity,29 Aug, 2018,4291,83
Slay the Spire,175.000,0.00390625,,1.0,Early Access Card Game Rogue-like Turn-Based Strategy Rogue-lite Indie Early Access Singleplayer RPG Replay Value Difficult Dungeon Crawler Great Soundtrack Mouse only Multiplayer,14 Nov, 2017,20764,96
Save 10% on Insurgency: Sandstorm,315.000,0,,0,FPS Action Realistic Tactical Multiplayer Shooter Military First-Person War Singleplayer Atmospheric Difficult Online Co-Op Open World Gore Co-op Choices Matter Cult Classic Massively Multiplayer RPG,12 Dec, 2018,,0
The Witcher® 3: Wild Hunt,390.000,6.0,Nvidia GPU GeForce GTX 660 / AMD GPU Radeon HD 7870,35.0,Open World RPG Story Rich Atmospheric Mature Fantasy Adventure Choices Matter Singleplayer Nudity Third Person Great Soundtrack Action Medieval Dark Fantasy Multiple Endings Action RPG Magic Dark Sandbox,18 May, 2015,174952,97
Subnautica,220.000,4.0,Intel HD 4600 or equivalent - This includes most GPUs scoring greater than 950 points in the3DMark Fire Strike benchmark,20.0,Survival Open World Exploration Crafting Underwater Base Building Singleplayer First-Person Adventure Horror Sci-fi Sandbox Aliens Atmospheric Early Access Action Indie VR Survival Horror FPS,23 Jan, 2018,80256,94
Terraria,120.000,0.0,,0,Sandbox Adventure Survival 2D Multiplayer Crafting Building Exploration Pixel Graphics Co-op Open World Indie Action RPG Online Co-Op Singleplayer Platformer Replay Value Atmospheric Family Friendly,16 May, 2011,187650,97
They Are Billions,220.000,4.0,Intel HD3000, Radeon, Nvidia card with shader model 3, 1GB video ram.,4.0,Early Access Base Building Strategy Survival Zombies RTS Steampunk Post-apocalyptic City Builder Tower Defense Building Singleplayer Resource Management Real-Time with Pause Tactical Early Access Difficult Management Indie Isometric,12 Dec, 2017,10625,85
Wolcen: Lords of Mayhem,188.000,4.0,NVIDIA GeForce GTX 560 Ti / AMD Radeon HD 6850,12.0,Early Access Hack and Slash RPG Action RPG Action Early Access Open World Adventure Indie Isometric Multiplayer Loot Character Customization Medieval Fantasy Nudity MMORPG Singleplayer,24 Mar, 2016,2891,73
DayZ,750.000,2.0,NVIDIA GeForce GT 440 or AMD Radeon HD 5850 or Intel HD Graphics 4000 with 512 MB VRAM,10.0,Early Access Survival Zombies Open World Multiplayer PvP Massively Multiplayer Action Simulation FPS Post-apocalyptic Early Access Shooter Survival Horror Sandbox Adventure Indie Co-op Horror Atmospheric,16 Dec, 2013,,0
Age of Civilizations II,70.000,1.0,Hardware Accelerated Graphics with dedicated memory,0.37109375,Strategy Historical Grand Strategy Turn-Based Strategy War Turn-Based Simulation Sandbox Political Singleplayer Indie Multiplayer Politics World War I World War II Diplomacy Casual,21 Nov, 2018,1426,85
Total War: WARHAMMER II,770.000,8.0,2GB Nvidia 680MX, 2GB AMD R9 M290, 1.5GB Intel Iris Graphics 540 or better (see notes for more details),51.0,Strategy Fantasy RTS Grand Strategy Turn-Based Strategy Multiplayer Action War Games Workshop Turn-Based Singleplayer Tactical Dark Fantasy Atmospheric Dinosaurs Real Time Tactics Story Rich Co-op Great Soundtrack Warhammer 40K,28 Sep, 2017,12635,87
Battle Brothers,250.000,1.0,OpenGL 3.3 compatible video card with 512 MB,1.46484375,Strategy Turn-Based Combat RPG Medieval Open World Turn-Based Turn-Based Tactics Indie Sandbox Procedural Generation Singleplayer Tactical Perma Death Difficult CRPG Fantasy Replay Value Early Access Turn-Based Strategy Rogue-like,24 Mar, 2017,4887,87
Deep Rock Galactic,220.000,6.0,NVIDIA GeForce GTX 460 or AMD Radeon HD 5770 /w 1GB VRAM,3.0,Early Access Co-op Action FPS Multiplayer Exploration Early Access Sci-fi Mining Survival Indie First-Person Shooter Open World Online Co-Op Atmospheric Space Horror Procedural Generation Singleplayer,28 Feb, 2018,6198,92
Left 4 Dead 2,120.000,2.0,ATI Radeon 2400 or higher / NVIDIA 8600M or higher / Intel HD Graphics 3000,13.0,Zombies Co-op FPS Multiplayer Action Online Co-Op Shooter Survival First-Person Horror Team-Based Gore Moddable Post-apocalyptic Survival Horror Singleplayer Adventure Local Co-Op Tactical Replay Value,16 Nov, 2009,145961,96
Simmiland,70.000,4.0,DirectX 9 compatible with at least 500MB of memory,0.48828125,Simulation Indie God Game Card Game Pixel Graphics,15 Aug, 2018,80,90
